,| 男性的 |,| 女性的 |,不分男女的 :,最常用於男性 = 男女,最常用於女性 = 女男,,,,,,
男,Ridge,,,英語（現代）,源自英語詞彙中表示連續隆起山脊的單字，或源自由此詞衍生的英語姓氏。,,,,,,
男女,Ridley,,,英語（罕見）,源自於英語姓氏，該姓氏最初源自於多個地名，在古英語中意為「蘆葦空地」或「剝落的空地」。,,,,,,
男,Rigby,,,英語（罕見）,源自於一個英語姓氏，該姓氏最初源自於一個地名，在古挪威語中意為「山脊農場」。,,,,,,
女男,Rikki,,,英語（現代）,Ricky 的變體和陰性形式。,,,,,,
男女,Riley,,,英語,源自一個姓氏，該姓氏有兩個不同的來源。作為愛爾蘭姓氏，它是 Reilly 的變體。作為英語姓氏，它源自於一個地名，在古英語中意為「黑麥空地」。 1980 年之前，這在美國是一個不常見的男性名字。在1980年代和1990年代，這個名字在男孩和女孩中都越來越受歡迎，自2003年起，在美國女孩中更常見。在其他英語國家，例如英國和澳大利亞，這個名字仍然主要指男性。,,,,,,
女,Rilla,,,英語,以rilla結尾的名字的縮寫。它是L. M. Montgomery在其1908年小說《綠山牆的安妮》續集中Marilla的縮寫，屬於安妮的一個女兒。,,,,,,
男,Riordan,,,英語（罕見）,源自愛爾蘭姓氏（英語化自愛爾蘭蓋爾語Ó Ríoghbhárdáin），該姓氏源自於名字Rígbarddán。,,,,,,
女男,Ripley,,,英語（罕見）,源自一個姓氏，姓氏源自多個英國城鎮的名稱，源自古英語 rippel（意為「樹林、灌木叢」）和 leah（意為「空地」）。一個著名的虛構名稱是艾倫·里普利（Ellen Ripley）（通常只用她的姓氏稱呼），出自1979年上映的電影《異形》系列。,,,,,,
女,Rita,,,義大利語、葡萄牙語、西班牙語、英語、德語、挪威語、丹麥語、瑞典語、匈牙利語、拉脫維亞語、立陶宛語、愛沙尼亞語,Margherita 和其他以 rita 結尾的名字的縮寫。聖麗塔（生名 Margherita Lotti）是一位來自義大利卡西亞的15世紀修女。另一位著名的名稱是美國女演員麗塔·海華斯（Rita Hayworth，1918-1987）。,,,,,,
男,Ritchie,,,英語,Ritchie 的變體。,,,,,,
男女,River,,,英語（現代）,源自表示流動水體的英語單字。這個字最終源自於（經由古法語）拉丁文 ripa（意為「河岸」）。,,,,,,
男,Rob,,,英語，荷蘭語,Robert 的縮寫。,,,,,,
男女,Robbie,,,英語,Robert 或 Roberta 的暱稱。,,,,,,
女男,Robbin,,,英語,Robin 的變體。,,,,,,
男,Robby,,,英語,Robert 的暱稱。,,,,,,
女,Robena,,,英語（罕見）,Robin 的陰性變異。,,,,,,
男,Robert,"Bob, Bobbie, Bobby, Rob, Robbie, Robbin, Robby, Robin（英語） Bob, Rob, Robbe（荷蘭語） Pertti, Roope（芬蘭語）",,英語，法語，瑞典語，挪威語，丹麥語，德語，荷蘭語，芬蘭語，愛沙尼亞語，捷克語，波蘭語，俄語，斯洛維尼亞語，克羅埃西亞語，阿爾巴尼亞語，羅馬尼亞語，加泰隆尼亞語，日耳曼語,源自日耳曼語名 Hrodebert，意為“輝煌的名聲”，由 hruod（名聲）和 beraht（光明）兩個詞衍生而來。諾曼人將這個名字引入英國，取代了罕見的古英語同源詞 Hreodbeorht。從13世紀到20世紀，它一直是最常見的英語名字之一。在美國，它是 1924 年至 1939 年間最受歡迎的男孩名（1953 年再次流行）。兩位法蘭克國王、兩位諾曼第公爵和三位蘇格蘭國王都曾使用過這個名字，包括 14 世紀使蘇格蘭脫離英格蘭獨立的羅伯特·布魯斯。幾位聖人也曾用過這個名字，最早被稱為聖魯珀特，源自於古德語變體。作家羅伯特·勃朗寧 (1812-1889)、詩人羅伯特·彭斯 (1759-1796) 和羅伯特·弗羅斯特 (1874-1963) 都是著名的文學同名人物。其他使用這個名字的人包括美國內戰期間邦聯軍隊指揮官羅伯特·E·李 (1807-1870)，以及美國演員羅伯特·雷德福 (1936-)、羅伯特·德尼羅 (1943-) 和小羅伯特·唐尼 (1965-)。,,,,,,
女,Roberta,"Birdie, Bobbi, Bobbie, Robbie, Robbin, Robin, Robyn, Robina, Robynne(English) Robertina(Italian) Robertina(Spanish)",,英語、義大利語、西班牙語、葡萄牙語,Robert 的女性形式。,,,,,,
男女,Robin,,,英語、法語、荷蘭語、瑞典語、捷克語,中世紀英語中 Robert 的暱稱，現通常被視為一個獨立的名字。羅賓漢 (Robin Hood) 是一位傳奇的英國英雄和弓箭手，他劫富濟貧。 A. A. 米爾恩 (A. A. Milne) 所著《小熊維尼》系列叢書中的人物克里斯托弗·羅賓 (Christopher Robin) 也使用了這個名字，該角色以作者兒子克里斯托弗·羅賓·米爾恩 (Christopher Robin Milne，1920-1996) 為原型。另一個名字其持有者是美國演員兼喜劇演員羅賓威廉斯（Robin Williams，1951-2014）。在現代，它也被用作女性名字，有時也被用來指紅胸鳥。,,,,,,
女,Robina,,,英語（罕見）,Robin 的女性形式。起源於17世紀的蘇格蘭。,,,,,,
男,Robinson,,,英語（罕見）,源自英語姓氏 Robinson，Robinson 是名字 Robin 的父名形式。這是丹尼爾笛福（Daniel Defoe）小說《魯濱遜漂流記》（1719）中主角的名字，該小說講述了一位在偏遠島嶼上遇難的水手的故事。,,,,,,
女,Robyn,,,英語,Robin 的女性變體。,,,,,,
女,Robynne,,,英語（罕見）,Robin 的女性變體。,,,,,,
女,Rochelle,,,英語,源自法國城市拉羅謝爾（La Rochelle），意為「小石城」。它最初在1930年代在美國被廣泛用作名字，可能是因為女演員羅謝爾·哈德森（1914-1972）的名氣，以及它與瑞秋（Rachel）的名字相似。,,,,,,
男,Rocky,,,英語,Rocco 和其他以類似發音開頭的名字的縮寫，或指強悍的人的 暱稱。這是電影《洛基》（1976年）及其續集中拳擊手洛基·巴爾博亞（西爾維斯特·史泰龍飾演）的名字。,,,,,,
男,Rod,,,英語,Roderick 或 Rodney 的縮寫。,,,,,,
男,Roddy,,,英語、蘇格蘭語,Roderick 或 Rodney 的縮寫。,,,,,,
男,Roderick,,,英語、蘇格蘭語、威爾斯語,意為“著名的統治者”，源自古德語元素 hruod“名聲”和 rih“統治者、國王”。這個名字在西哥德人中很常用；這個名字由他們的最後一位國王（哥德語形式 *Hroþireiks，西班牙語形式 Rodrigo）所用，他在公元8世紀與入侵西班牙的穆斯林的戰鬥中陣亡。它在古挪威語和西日耳曼語中也有同源詞，斯堪的納維亞定居者和諾曼人將其引入英格蘭，但在中世紀之後逐漸消亡。沃爾特·斯科特1811年的詩歌《唐·羅德里克的幻象》使它重新在英語世界中流行起來。這個名字也曾是蘇格蘭語 Ruaridh 或威爾斯語 Rhydderch 的英語化形式。,,,,,,
男,Rodge,,,英語,Rodger 的縮寫。,,,,,,
男,Rodger,,,英語,Roger 的變體。,,,,,,
男,Rodney,,,英語,源自於一個英語姓氏，最初源自於一個地名，在古英語中意為「赫羅達的島嶼」（其中 Hroda 是一個古英語名字，意為「名聲」）。它最初是為了紀念英國海軍上將羅德尼勳爵（1719-1792）而用作名字的。,,,,,,
男,Rodolph,,,英語（罕見）、法語（罕見）,Rudolf 的變體。,,,,,,
男,Roger,,,英語、法語、加泰隆尼亞語、瑞典語、挪威語、德語、荷蘭語,源自日耳曼語名 Hrodger，意為“著名的長矛”，由 hruod（名聲）和 ger（長矛）兩個詞組成。諾曼人將這個名字帶到了英格蘭，並在那裡取代了古英語同源詞 Hroðgar（盎格魯-撒克遜史詩《貝奧武甫》中丹麥國王的名字）。在中世紀時期，這個名字在英格蘭很常見。到了18世紀，它已經很少見了，但在隨後的幾年裡又重新流行起來。這個名字由諾曼領主羅傑一世（他在11世紀征服了西西里島）和他的兒子羅傑二世（作為國王統治西西里島）所使用。這個名字在20世紀上半葉的法國非常流行。在英語世界，它尤其在1930年代到1950年代流行。著名的使用這個名字的人包括英國演員羅傑摩爾（1927-2017）和瑞士網球運動員羅傑費德勒（1981-）。,,,,,,
男,Roland,,,英語、法語、德語、瑞典語、荷蘭語、匈牙利語、波蘭語、斯洛伐克語、阿爾巴尼亞語、格魯吉亞語、加洛林王朝循環,源自古德語元素 hruod（意為「名望」）和 lant（意為「土地」），儘管有些理論認為第二個元素最初是 nand（意為「勇敢」）。羅蘭是查理曼大帝麾下的軍事指揮官，在隆塞斯瓦耶斯戰役中被巴斯克人殺害。他的名字在拉丁語中被記錄為 Hruodlandus。他的故事在11世紀的法國史詩《羅蘭之歌》中被大加渲染，在書中，他是查理曼大帝的侄子，在遭到撒拉遜人的伏擊後被殺。諾曼人將這個名字引入了英格蘭。,,,,,,
男,Rolf,,,德語、瑞典語、挪威語、丹麥語、英語,源自古德語名Hrolf（或其古挪威語同源詞Hrólfr），是Hrodulf（參見Rudolf）的縮寫。諾曼人將這個名字引入了英格蘭，但很快就變得稀少。在現代，它偶爾在英語世界中被用作從德語中引入的名字。,,,,,,
男,Rolland,,,法語、英語,Roland 的變體。,,,,,,
男,Rollie,,,英語,Roland的暱稱。,,,,,,
男,Rollo,,,英語,Roul 的拉丁化形式，Rolf 的古法語形式。 「Ganger」羅洛（或稱羅爾夫）是一位被流放的維京人，他在10世紀成為第一位諾曼底公爵。自19世紀以來，它在英語世界中一直被用作名字。,,,,,,
男,Rolo,,,英語（罕見）,Rollo 的變體。,,,,,,
男,Rolph,,,英語（罕見）,Rolf 的變體。,,,,,,
男,Roly,,,英語,Roland 的暱稱。,,,,,,
女,Romaine,,,法語、英語,Romanus 的法文陰性形式（參見 Roman）。,,,,,,
男,Roman,,,俄語、波蘭語、捷克語、斯洛伐克語、烏克蘭語、斯洛維尼亞語、克羅埃西亞語、愛沙尼亞語、德語、英語,源自晚期拉丁文名稱 Romanus，意為「羅馬人」。這個名字由幾位早期聖徒使用，其中包括一位7世紀的魯昂主教，以及保加利亞、基輔和摩爾達維亞的中世紀統治者。,,,,,,
女,Romayne,,,英語（罕見）,Romaine 的變體。,,,,,,
女,Romey,,,英語（罕見）,Rosemary 的暱稱。,,,,,,
男女,Romilly,,,英語（英國，罕見）,源自於一個英語姓氏，姓氏源自諾曼第各城鎮的名稱，而這些城鎮本身又源自於名字 Romilius。,,,,,,
女,Romy,,,德語、荷蘭語、法語、英語,Rosemarie、Rosemary 以及以 Rom 開頭的名字的暱稱。,,,,,,
男,Ron (1),,,英語,Ronald 的縮寫。,,,,,,
女,Rona (1),,,英語,Rhona 的變體。,,,,,,
男,Ronald,,,蘇格蘭語、英語、荷蘭語、德語,Ragnvaldr 的蘇格蘭形式，該名字由斯堪的納維亞定居者和入侵者引入英國。它在 20 世紀在蘇格蘭以外地區流行起來。一個著名的持有者是美國演員兼總統羅納德·雷根（1911-2004）。它也與麥當勞連鎖餐廳的小丑吉祥物羅納德·麥當勞有關，該吉祥物於1963年首次出現。,,,,,,
男,Ronan,,,布列塔尼語、愛爾蘭語、法語、英語（現代）,Rónán 的布列塔尼語和英語化形式。,,,,,,
女,Ronda,,,英語,Rhonda 的變體。,,,,,,
女,Roni (2),,,英語,Veronica 的暱稱。,,,,,,
男,Ronin,,,英語（現代）,Ronan 的變體，也與日語詞彙「浪人」（ronin）意思相符，意為「沒有主人的武士」。,,,,,,
女,Ronnette,,,英語（罕見）,Ronald 的女性形式。,,,,,,
男女,Ronnie,,,英語,Ronald 或 Veronica 的暱稱。,,,,,,
男,Ronny,,,英語,Ronald 的暱稱。,,,,,,
男,Roosevelt,,,英語,源自荷蘭姓氏 Roosevelt，意為「玫瑰田」。該名字常用於紀念美國總統西奧多·羅斯福 (1858-1919) 或富蘭克林·D·羅斯福 (1882-1945)。,,,,,,
女男,Rorie,,,英語,Rory 的變體。,,,,,,
男女,Rory,,,愛爾蘭語、蘇格蘭語、英語,Ruaidhrí 的英語化形式。該名字通常為男性名字，在電視劇《吉爾莫女孩》（2000-2007）中作為 Lorelai 的暱稱出現後，在美國女孩中頗受歡迎。儘管如此，這個名字在美國男孩中越來越常見，尤其是在 2011 年之後，這或許要歸功於北愛爾蘭高爾夫球手 Rory McIlroy（1989-）。,,,,,,
女,Ros,,,英語,Rosalind、Rosamund 和其他以 Ros 開頭的名字的縮寫。,,,,,,
女,Rosa (1),,,西班牙語、義大利語、葡萄牙語、加泰隆尼亞語、瑞典語、丹麥語、挪威語、芬蘭語、荷蘭語、德語、英語,通常，該詞可被認為源自拉丁語 rosa，意為“玫瑰”，但其最初可能源自於一個無關的日耳曼名字 Roza 2。 Roza 2 是 13 世紀一位來自義大利維泰博的聖徒的名字。在英語世界中，該名字首次使用於 19 世紀。該名字的著名使用者包括波蘭裔德國革命家羅莎·盧森堡 (1871-1919) 和美國民權活動家羅莎·帕克斯 (1913-2005)。,,,,,,
女,Rosabel,,,英語（罕見）,由 Rosa 1 和常用名後綴 bel 組合而成，靈感源自拉丁語 bella（意為「美麗的」）。名字誕生於 18 世紀。,,,,,,
女,Rosabella,,,英語（罕見）,Rosabel 的變體。,,,,,,
女,Rosalee,,,英語,Rosalie 的變體。,,,,,,
女,Rosaleen,,,英語（罕見），愛爾蘭語,"Rosaline 的變體。詹姆斯·克拉倫斯·曼根 (James Clarence Mangan) 在其詩歌《黑暗的羅莎琳》(Dark Rosaleen, 1846) 中將其用作 Róisín 的翻譯。",,,,,,
女,Raslie,,,法語、德語、荷蘭語、英語,"Rosalia 的法語、德語和荷蘭語形式。在英語國家，這個名字在電影《羅莎莉》(Rosalie, 1938) 上映後大受歡迎，該電影改編自早期音樂劇。",,,,,,
女,Rosalin,,,英語（罕見）,Rosalind 的中世紀變體。,,,,,,
女,Rosalind,,,英語（罕見）,源自古德語元素 hros（意為「馬」）和 lind（意為「柔軟、靈活、溫柔」）。諾曼人將這個名字引入了英格蘭，儘管它並不常見。在中世紀，其拼寫受到拉丁語短語 rosa linda（意為“美麗的玫瑰”）的影響。埃德蒙·斯賓塞（Edmund Spencer）在其詩歌中使用該詞，威廉·莎士比亞（William Shakespeare）也將其用於其喜劇《皆大歡喜》（1599 年）中的女主角，從而使該名字廣為流傳。,,,,,,
女,Rosaline,,,英語,Rosalind 的中世紀變體。這是莎士比亞戲劇《愛的徒勞》（1594 年）和《羅密歐與茱麗葉》（1596 年）中人物的名字。,,,,,,
女,Rosalyn,,,英語,Rosaline 的變體。也可以將其視為 Rose 的變體，並加上常用名後綴 lyn。,,,,,,
女,Rosalynne,,,英語（罕見）,Rosalyn 的變體。,,,,,,
女,Rosamond,,,英語,Rosamund 的變體，自中世紀以來一直使用。,,,,,,
女,Rosamund,,,英語（罕見）,源自古德語元素 hros（馬）和 munt（保護）。名字由倫巴第國王阿爾博因（Alboin）的妻子於6世紀所用。諾曼人將其引入英格蘭。後來，它被解釋為源自拉丁語 rosa munda（純潔的玫瑰）或 rosa mundi（世界的玫瑰）。這是12世紀英格蘭國王亨利二世的情婦的名字。據傳說，她被他的妻子阿基坦的埃莉諾（Eleanor of Aquitaine）謀殺。,,,,,,
女,Rosanna,,,義大利語、英語,Rosa 1 和 Anna 的組合。,,,,,,
女,Rosannah,,,英語（罕見）,Rosanna 的變體。,,,,,,
女,Rosanne,,,英語、荷蘭語,Rose 和 Anne 1 的組合。,,,,,,
男,Roscoe,,,英語,源自於一個英語姓氏，最初源自於一個地名，而地名本身又源自古挪威語 rá（雄鹿）和 skógr（樹林、森林）。,,,,,,
女,Rose,,,英語、法語,最初是日耳曼語名 Hrodohaidis 的諾曼法語形式，意為“著名的類型”，由 hruod（名望）和 heit（種類、種類、類型）組成。諾曼人將其以 Roese 和 Rohese 的形式引入英國。從很早以前，它就與表示芬芳的玫瑰（源自拉丁語 rosa）的單字聯繫在一起。當這個名字在 19 世紀復興時，很可能與玫瑰有關。,,,,,,
